N,K,Agg,ITI,cv
2,4,0,0.515641954176768,0.161284491830246
2,4,1,0.528785714285714,0.153151940804767
2,0,0,0.488277828708415,0.0977494622395332
2,0,0,0.564517162129337,0.0611541765199906
2,0,1,0.489233333333333,0.121529736557659
2,4,0,0.528215475831385,0.0951131697454223
2,4,0,0.530910175117613,0.124525483770611
2,4,1,0.528909090909091,0.131329234927136
2,0,0,0.520027605481563,0.196823014007805
2,0,0,0.481364112607006,0.159398417781262
2,0,1,0.486,0.201152256525098
2,4,0,0.538905327226101,0.125036891453948
2,4,0,0.5489747242204,0.143044401888315
2,4,1,0.539333333333333,0.147045291923734
2,0,0,0.48043788875507,0.0873211872494166
2,0,0,0.52104136759526,0.152929608525455
2,0,1,0.480741935483871,0.119950449214705
2,4,0,0.515389682389077,0.151054974531826
2,4,0,0.514717849191538,0.151389281356987
2,4,1,0.524421052631579,0.0948892385337252
2,0,0,0.643463719402617,0.126814251782888
2,0,0,0.530864098477017,0.195447691643908
2,0,1,0.546148148148148,0.209068082956902
2,4,0,0.616630617002219,0.135126288172194
2,4,0,0.573742850764668,0.207741489941155
2,4,1,0.58916,0.187912575887102
2,0,0,0.582110721461486,0.150387860199077
2,0,0,0.486279329660889,0.129480719799996
2,0,1,0.486655737704918,0.197878376905766
2,4,0,0.545664799221152,0.12371695734649
2,4,0,0.534149694566131,0.156135563442362
2,4,1,0.526142857142857,0.141585184647656
2,0,0,0.56441036088144,0.18759973986271
2,0,0,0.38903065098305,0.0592489207981003
2,0,1,0.389026315789474,0.0981045342228705
2,4,0,0.48271530949786,0.0668835885374005
2,4,0,0.474702656126488,0.06606646400006
2,4,1,0.474677419354839,0.0685781344416247
2,0,0,0.464969946892536,0.0504709166224738
2,0,0,0.474886542166596,0.0967723780527436
2,0,1,0.455230769230769,0.0967718147640357
2,4,0,0.494281351928867,0.079814248888085
2,4,0,0.496358616823163,0.0490256869203894
2,4,1,0.497491525423729,0.0501096419327421
2,0,0,0.501680745351658,0.0702102974730658
2,0,0,0.477873169770487,0.0694823665641426
2,0,1,0.474870967741936,0.118481812363349
2,4,0,0.514461240367598,0.0515262825091016
2,4,0,0.513775213691495,0.0502825102382665
2,4,1,0.51351724137931,0.0571253909879022
2,0,0,0.426734324671211,0.0620085904553246
2,0,0,0.471111138943695,0.0629996941540828
2,0,1,0.426714285714286,0.0989508609043349
2,4,0,0.466158011205935,0.101371740474109
2,4,0,0.464217275621437,0.101898386776052
2,4,1,0.46646875,0.102405454031775
2,0,0,0.453771024411075,0.0968460514610306
2,0,0,0.493257768436091,0.134307460878356
2,0,1,0.460769230769231,0.108657042866336
2,4,0,0.494007585406186,0.126740508212329
2,4,0,0.494483557360547,0.129241960862431
2,4,1,0.494,0.100289466034867
2,0,0,0.55043858920467,0.176320784267681
2,0,0,0.52161005265063,0.187739280542967
2,0,1,0.540925925925926,0.141038005501735
2,4,0,0.572945634320113,0.130222718908337
2,4,0,0.586493506669096,0.0707190203901003
2,4,1,0.572923076923077,0.127647371602142
2,0,0,0.424083093963207,0.0483143904178526
2,0,0,0.507772296331854,0.162682297033453
2,0,1,0.424085714285714,0.141173925485582
2,4,0,0.480125124963195,0.0564512581792057
2,4,0,0.480037820035801,0.0702718677599832
2,4,1,0.479774193548387,0.0745863592781362
2,0,0,0.495614231762648,0.0612853404747031
2,0,0,0.440088739630819,0.0572332620272036
2,0,1,0.443820895522388,0.118146953588664
2,4,0,0.484399077405102,0.118161369846806
2,4,0,0.476218349885333,0.166822420774739
2,4,1,0.483868852459016,0.0825355823557028
2,0,0,0.51241370414952,0.0772644250769808
2,0,0,0.468730725401557,0.128795448504652
2,0,1,0.487213114754098,0.110169273225243
2,4,0,0.512303287595584,0.144990092877364
2,4,0,0.517758986923353,0.0742479397406317
2,4,1,0.512241379310345,0.113049580232692
2,0,0,0.502251559439191,0.115546595060773
2,0,0,0.514044345374904,0.108377242597751
2,0,1,0.513438596491228,0.114412314159948
2,4,0,0.535766292260162,0.101040673038438
2,4,0,0.53727131026638,0.076086985735108
2,4,1,0.536509090909091,0.0857971235335797
2,0,0,0.575252047243944,0.119901715798115
2,0,0,0.509540642269048,0.150580846740165
2,0,1,0.507186440677966,0.166667030859111
2,4,0,0.557309854624502,0.141475963403353
2,4,0,0.557622340477562,0.0630563786132921
2,4,1,0.557471698113208,0.136911630950716
2,0,0,0.429512422297387,0.0524979319826983
2,0,0,0.458844194312227,0.0597734443407568
2,0,1,0.426057142857143,0.0970979514307158
2,4,0,0.467225741644029,0.081013837776269
2,4,0,0.466451789932169,0.0538540446470081
2,4,1,0.46646875,0.0614985019353271
2,0,0,0.584839120448215,0.0820336852184539
2,0,0,0.477036107912954,0.0617823095836178
2,0,1,0.477032258064516,0.127655441680701
2,4,0,0.536529741199867,0.0957952386806027
2,4,0,0.537014229284311,0.117775043016541
2,4,1,0.536509090909091,0.118933670206805
2,0,0,0.530288933348854,0.105720009331602
2,0,0,0.44719695472378,0.0601512677997468
2,0,1,0.449030303030303,0.121844391366526
2,4,0,0.509549320112253,0.101602521023576
2,4,0,0.499260895587507,0.114762209026282
2,4,1,0.508758620689655,0.124289108487128
