N,K,Agg,ITI,cv
2,0,1,0.501767348452017,0.212318146760933
2,0,0,0.537026675640537,0.138622367719777
2,0,0,0.446815982046635,0.12228935351312
2,0,1,0.514766502556991,0.203987188252802
2,0,0,0.344860874976387,0.116176003334606
2,0,0,0.499746944391409,0.145710155748877
2,0,1,0.471142352330471,0.189602607032331
2,0,0,0.54690551928121,0.145560475081249
2,0,0,0.486960460751957,0.125394703751645
2,0,1,0.544175296650544,0.206350249488532
2,0,0,0.41978881432447,0.121120060221096
2,0,0,0.399678522069074,0.133230998427876
2,0,1,0.444196205334819,0.187673682179136
2,0,0,0.450316524865156,0.137458713024515
2,0,0,0.34807676571853,0.113903794767385
2,0,1,0.441688613305775,0.175916375863027
2,0,0,0.685309910301375,0.156204305947127
2,0,0,0.527020787185101,0.142451875304425
2,0,1,0.58828368043905,0.259891412838096
2,0,0,0.396493832650197,0.132143162565673
2,0,0,0.484292331672192,0.13833372159844
2,0,1,0.469433735826413,0.175950920208338
2,0,0,0.498944366798489,0.143071110129084
2,0,0,0.4176888277063,0.117431659552897
2,0,1,0.491336262339105,0.188141797191184
2,0,0,0.605792286545728,0.143910859177557
2,0,0,0.697816260499289,0.164141152136389
2,0,1,0.575375456620807,0.32375002236395
2,0,0,0.476411277491386,0.137874250308325
2,0,0,0.503585712106564,0.134376149446336
2,0,1,0.516217424851293,0.20144152868662
2,0,0,0.652565256525653,0.176856427523946
2,0,0,0.366764617638234,0.133974639473623
2,0,1,0.50999971792051,0.283261460986007
2,0,0,0.483980436878639,0.143231348379981
2,0,0,0.833049406635579,0.19495744871107
2,0,1,0.544808579218578,0.325591406660595
2,0,0,0.411368937723648,0.135176432976253
2,0,0,0.665032946247645,0.154410533298116
2,0,1,0.516197453078641,0.288567690205272
2,0,0,0.506938448946936,0.133818419782935
2,0,0,0.396732900381672,0.128790520030136
2,0,1,0.484682614602924,0.190637090744352
2,0,0,0.543900543900544,0.138230179934249
2,0,0,0.512937891727317,0.137852589820178
2,0,1,0.537026675640537,0.249085878072493
2,0,0,0.519371308858635,0.137061097014022
2,0,0,0.454337671210043,0.144833304331504
2,0,1,0.516614161416142,0.187623635355766
2,0,0,0.701830746454927,0.167598448312413
2,0,0,0.504568223319794,0.141951127241291
2,0,1,0.54305977045792,0.281864602994148
2,0,0,0.38614756417276,0.118676027107261
2,0,0,0.450090257894568,0.129468339071843
2,0,1,0.447972725200448,0.171859214629565
2,0,0,0.488620290600489,0.137293788098788
2,0,0,0.568102787290223,0.138637364620353
2,0,1,0.534323702640534,0.21857040531308
2,0,0,0.3720596778779,0.12675650890143
2,0,0,0.973364663198993,0.269443713848147
2,0,1,0.452328337856617,0.306565477318539
2,0,0,0.569942051676432,0.161189228385892
2,0,0,0.487009485262252,0.152582848448042
2,0,1,0.545054505450545,0.195679315407141
2,0,0,0.369256256480667,0.121972620055566
2,0,0,0.50131275753838,0.14644643843618
2,0,1,0.481601558214074,0.185187969513236
2,0,0,0.561703897662494,0.155580909006934
2,0,0,0.491831361353957,0.143006896475676
2,0,1,0.533440440818275,0.233276361409901
2,0,0,0.521315289423679,0.14322825020559
2,0,0,0.641096367701286,0.169841150217111
2,0,1,0.584411382314702,0.243739443571061
2,0,0,0.606158176793289,0.157729681318129
2,0,0,2.15882053321611,0.979292740796459
2,0,1,0.595269107749098,0.229338925534516
2,0,0,0.381877268186589,0.124788821832688
2,0,0,0.491732341550987,0.141667310506097
2,0,1,0.463581241845115,0.205749789309307
2,0,0,1.69603167213273,0.498074397492772
2,0,0,0.43911470793097,0.134192690612023
